id,original_text,normalized_text,token_ids,token_length,text_length
hassaniya_0000,السلام عليكم ورحمة الله,السلام عليكم ورحمه الله,"[5, 28, 16, 28, 5, 29, 3, 22, 28, 33, 27, 29, 3, 32, 14, 10, 29, 31, 3, 5, 28, 28, 31]",23,23
hassaniya_0001,ويدبزوه  فماتياه بعد قاع  لين تساوة كرامة بتراب,ويدبزوه فماتياه بعد قاع لين تساوه كرامه بتراب,"[32, 33, 12, 6, 15, 32, 31, 3, 25, 29, 5, 7, 33, 5, 31, 3, 6, 22, 12, 3, 26, 5, 22, 3, 28, 33, 30, 3, 7, 16, 5, 32, 31, 3, 27, 14, 5, 29, 31, 3, 6, 7, 14, 5, 6]",45,47
hassaniya_0002,في كيهيدي,في كيهيدي,"[25, 33, 3, 27, 33, 31, 33, 12, 33]",9,9
hassaniya_0003,أتفيق الحكومة في دقيقة وحده وذهو الوالي منكز,اتفيق الحكومه في دقيقه وحده وذهو الوالي منكز,"[5, 7, 25, 33, 26, 3, 5, 28, 10, 27, 32, 29, 31, 3, 25, 33, 3, 12, 26, 33, 26, 31, 3, 32, 10, 12, 31, 3, 32, 13, 31, 32, 3, 5, 28, 32, 5, 28, 33, 3, 29, 30, 27, 15]",44,44
hassaniya_0004,الوالي منكز أعلاش مواطنين أكتل كان متظاهرين,الوالي منكز اعلاش مواطنين اكتل كان متظاهرين,"[5, 28, 32, 5, 28, 33, 3, 29, 30, 27, 15, 3, 5, 22, 28, 5, 17, 3, 29, 32, 5, 20, 30, 33, 30, 3, 5, 27, 7, 28, 3, 27, 5, 30, 3, 29, 7, 21, 5, 31, 14, 33, 30]",43,43
hassaniya_0005,مواطنين مات في الحبس,مواطنين مات في الحبس,"[29, 32, 5, 20, 30, 33, 30, 3, 29, 5, 7, 3, 25, 33, 3, 5, 28, 10, 6, 16]",20,20
hassaniya_0006,ميزانيتك أكثر من أحطعشر مليار ماقط دارت كرياج ألا بربل,ميزانيتك اكثر من احطعشر مليار ماقط دارت كرياج الا بربل,"[29, 33, 15, 5, 30, 33, 7, 27, 3, 5, 27, 8, 14, 3, 29, 30, 3, 5, 10, 20, 22, 17, 14, 3, 29, 28, 33, 5, 14, 3, 29, 5, 26, 20, 3, 12, 5, 14, 7, 3, 27, 14, 33, 5, 9, 3, 5, 28, 5, 3, 6, 14, 6, 28]",54,54
hassaniya_0007,لماذا ماتم أقالت وزير الشؤون المشوية,لماذا ماتم اقالت وزير الشوون المشويه,"[28, 29, 5, 13, 5, 3, 29, 5, 7, 29, 3, 5, 26, 5, 28, 7, 3, 32, 15, 33, 14, 3, 5, 28, 17, 32, 32, 30, 3, 5, 28, 29, 17, 32, 33, 31]",36,36
hassaniya_0008,ولين أموت أملي,ولين اموت املي,"[32, 28, 33, 30, 3, 5, 29, 32, 7, 3, 5, 29, 28, 33]",14,14
hassaniya_0009,لماذا مانسمع أقالات في الجملة فهذي الوزارة الذ هي أل من يوم فقن أعليه,لماذا مانسمع اقالات في الجمله فهذي الوزاره الذ هي ال من يوم فقن اعليه,"[28, 29, 5, 13, 5, 3, 29, 5, 30, 16, 29, 22, 3, 5, 26, 5, 28, 5, 7, 3, 25, 33, 3, 5, 28, 9, 29, 28, 31, 3, 25, 31, 13, 33, 3, 5, 28, 32, 15, 5, 14, 31, 3, 5, 28, 13, 3, 31, 33, 3, 5, 28, 3, 29, 30, 3, 33, 32, 29, 3, 25, 26, 30, 3, 5, 22, 28, 33, 31]",69,69
hassaniya_0010,محمد بوي ذاك الفوت كامل ولاتكلم خاظ  ماتكلم,محمد بوي ذاك الفوت كامل ولاتكلم خاظ ماتكلم,"[29, 10, 29, 12, 3, 6, 32, 33, 3, 13, 5, 27, 3, 5, 28, 25, 32, 7, 3, 27, 5, 29, 28, 3, 32, 28, 5, 7, 27, 28, 29, 3, 11, 5, 21, 3, 29, 5, 7, 27, 28, 29]",42,43
hassaniya_0011,عنهم بيهم ذ من التمانكت أل يجبر قاع  واحد يقال أوخظ  من الحبس ماتين حابسينك أقولهم مان واخظ,عنهم بيهم ذ من التمانكت ال يجبر قاع واحد يقال اوخظ من الحبس ماتين حابسينك اقولهم مان واخظ,"[22, 30, 31, 29, 3, 6, 33, 31, 29, 3, 13, 3, 29, 30, 3, 5, 28, 7, 29, 5, 30, 27, 7, 3, 5, 28, 3, 33, 9, 6, 14, 3, 26, 5, 22, 3, 32, 5, 10, 12, 3, 33, 26, 5, 28, 3, 5, 32, 11, 21, 3, 29, 30, 3, 5, 28, 10, 6, 16, 3, 29, 5, 7, 33, 30, 3, 10, 5, 6, 16, 33, 30, 27, 3, 5, 26, 32, 28, 31, 29, 3, 29, 5, 30, 3, 32, 5, 11, 21]",89,91
hassaniya_0012,يزرقوه في حبس لا ماء ولاشجرا,يزرقوه في حبس لا ماء ولاشجرا,"[33, 15, 14, 26, 32, 31, 3, 25, 33, 3, 10, 6, 16, 3, 28, 5, 3, 29, 5, 4, 3, 32, 28, 5, 17, 9, 14, 5]",28,28
hassaniya_0013,أياك أيعدل  من أملي وحد ثاني أجديد ذ أبلا معني,اياك ايعدل من املي وحد ثاني اجديد ذ ابلا معني,"[5, 33, 5, 27, 3, 5, 33, 22, 12, 28, 3, 29, 30, 3, 5, 29, 28, 33, 3, 32, 10, 12, 3, 8, 5, 30, 33, 3, 5, 9, 12, 33, 12, 3, 13, 3, 5, 6, 28, 5, 3, 29, 22, 30, 33]",45,46
hassaniya_0014,هذي النقطة لول,هذي النقطه لول,"[31, 13, 33, 3, 5, 28, 30, 26, 20, 31, 3, 28, 32, 28]",14,14
hassaniya_0015,يغير أملي أن ماني تابع الحد,يغير املي ان ماني تابع الحد,"[33, 23, 33, 14, 3, 5, 29, 28, 33, 3, 5, 30, 3, 29, 5, 30, 33, 3, 7, 5, 6, 22, 3, 5, 28, 10, 12]",27,27
hassaniya_0016,تذكير أوتوف هو ألاتذكير,تذكير اوتوف هو الاتذكير,"[7, 13, 27, 33, 14, 3, 5, 32, 7, 32, 25, 3, 31, 32, 3, 5, 28, 5, 7, 13, 27, 33, 14]",23,23
hassaniya_0017,بي شفت ذ لسابيع الماضين,بي شفت ذ لسابيع الماضين,"[6, 33, 3, 17, 25, 7, 3, 13, 3, 28, 16, 5, 6, 33, 22, 3, 5, 28, 29, 5, 19, 33, 30]",23,23
